44525|52934
52934|7
25912|52934
38953|52934
55519|52934
55621|52934
53145|52934
56980|52934
54945|52934
53596|52934
7|38953
7|44525
7|25912
25912|38953
25912|44525
38953|44525
7|54945
7|55621
7|56980
7|53145
7|53596
7|55519
25912|54945
25912|55621
25912|56980
25912|53145
25912|53596
25912|55519
38953|54945
38953|55621
38953|56980
38953|53145
38953|53596
38953|55519
44525|54945
44525|55621
44525|56980
44525|53145
44525|53596
44525|55519
53145|54945
53145|55621
53145|56980
53145|53596
53145|55519
53596|54945
53596|56980
53596|55621
53596|55519
54945|56980
54945|55621
54945|55519
55519|56980
55519|55621
55621|56980
